direction,entry_time,entry_price,exit_time,exit_price,pnl_points,exit_reason
LONG,2024-01-02 10:00:00,22022.276035319348,2024-01-02 10:10:00,22007.276035319348,-15.0,SL
LONG,2024-01-02 11:40:00,21943.74051835712,2024-01-02 11:55:00,21928.74051835712,-15.0,SL
SHORT,2024-01-02 13:30:00,21926.783565254147,2024-01-02 13:45:00,21941.783565254147,-15.0,SL
LONG,2024-01-02 14:35:00,21963.838314388053,2024-01-02 14:50:00,21986.338314388053,22.5,TARGET
SHORT,2024-01-03 09:20:00,21969.83628467467,2024-01-03 09:25:00,21984.83628467467,-15.0,SL
SHORT,2024-01-03 09:45:00,21974.16065504606,2024-01-03 09:55:00,21989.16065504606,-15.0,SL
LONG,2024-01-03 13:55:00,21836.90322499463,2024-01-03 14:30:00,21821.90322499463,-15.0,SL
LONG,2024-01-04 12:50:00,21713.028620331537,2024-01-04 13:45:00,21735.528620331537,22.5,TARGET
SHORT,2024-01-05 10:25:00,21855.726361536534,2024-01-05 10:50:00,21870.726361536534,-15.0,SL
SHORT,2024-01-05 13:45:00,21874.979281872296,2024-01-05 14:35:00,21889.979281872296,-15.0,SL
SHORT,2024-01-05 15:20:00,21886.053098531494,2024-01-05 15:25:00,21888.186118272115,-2.1330197406205116,EOD
LONG,2024-01-08 09:15:00,21893.080377472197,2024-01-08 09:40:00,21878.080377472197,-15.0,SL
LONG,2024-01-08 10:00:00,21885.19642227673,2024-01-08 10:05:00,21907.69642227673,22.5,TARGET
SHORT,2024-01-08 10:35:00,21914.21498250733,2024-01-08 10:40:00,21929.21498250733,-15.0,SL
SHORT,2024-01-08 11:00:00,21917.0693646382,2024-01-08 11:15:00,21932.0693646382,-15.0,SL
LONG,2024-01-09 12:45:00,22218.34200250897,2024-01-09 13:05:00,22240.84200250897,22.5,TARGET
SHORT,2024-01-10 11:45:00,22329.24284107893,2024-01-10 11:50:00,22344.24284107893,-15.0,SL
SHORT,2024-01-10 12:00:00,22328.0612045527,2024-01-10 12:10:00,22343.0612045527,-15.0,SL
SHORT,2024-01-10 12:25:00,22332.508186676765,2024-01-10 12:35:00,22347.508186676765,-15.0,SL
SHORT,2024-01-10 12:50:00,22322.365234594243,2024-01-10 13:55:00,22337.365234594243,-15.0,SL
SHORT,2024-01-11 14:00:00,22355.103092287623,2024-01-11 14:10:00,22370.103092287623,-15.0,SL
SHORT,2024-01-11 14:35:00,22369.244821086268,2024-01-11 15:10:00,22346.744821086268,22.5,TARGET
LONG,2024-01-12 13:05:00,22313.75737205732,2024-01-12 13:20:00,22298.75737205732,-15.0,SL
LONG,2024-01-15 13:20:00,22314.34699896773,2024-01-15 13:35:00,22336.84699896773,22.5,TARGET
LONG,2024-01-15 14:50:00,22308.166786483693,2024-01-15 15:00:00,22330.666786483693,22.5,TARGET
LONG,2024-01-16 10:05:00,22332.81543942926,2024-01-16 10:50:00,22355.31543942926,22.5,TARGET
SHORT,2024-01-16 13:25:00,22301.76607013794,2024-01-16 13:35:00,22279.26607013794,22.5,TARGET
SHORT,2024-01-16 15:25:00,22258.60717874137,2024-01-17 09:15:00,22258.60717874137,-0.0,EOD
LONG,2024-01-17 12:35:00,22160.819243923903,2024-01-17 13:35:00,22145.819243923903,-15.0,SL
SHORT,2024-01-19 10:15:00,21999.018920280894,2024-01-19 10:25:00,22014.018920280894,-15.0,SL
LONG,2024-01-19 11:25:00,22014.03300694256,2024-01-19 11:30:00,21999.03300694256,-15.0,SL
LONG,2024-01-19 11:45:00,22017.43531380404,2024-01-19 12:15:00,22039.93531380404,22.5,TARGET
LONG,2024-01-19 13:15:00,22013.31087899608,2024-01-19 13:25:00,22035.81087899608,22.5,TARGET
SHORT,2024-01-19 14:30:00,22034.583156963366,2024-01-19 14:40:00,22012.083156963366,22.5,TARGET
SHORT,2024-01-22 11:50:00,22140.773013547627,2024-01-22 12:10:00,22155.773013547627,-15.0,SL
LONG,2024-01-22 14:00:00,22170.37841278152,2024-01-22 14:25:00,22192.87841278152,22.5,TARGET
LONG,2024-01-23 10:25:00,22134.54239996024,2024-01-23 10:40:00,22157.04239996024,22.5,TARGET
LONG,2024-01-24 14:00:00,22130.74717173569,2024-01-24 14:45:00,22153.24717173569,22.5,TARGET
LONG,2024-01-25 09:25:00,22144.25440151156,2024-01-25 09:40:00,22166.75440151156,22.5,TARGET
SHORT,2024-01-25 09:55:00,22159.058162997084,2024-01-25 10:15:00,22174.058162997084,-15.0,SL
LONG,2024-01-25 11:25:00,22197.609005875653,2024-01-25 11:40:00,22182.609005875653,-15.0,SL
LONG,2024-01-25 12:05:00,22182.71348829157,2024-01-25 12:15:00,22167.71348829157,-15.0,SL
LONG,2024-01-25 15:00:00,22141.484806008128,2024-01-25 15:15:00,22126.484806008128,-15.0,SL
